"","...1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","rank","Y"
"100","kctd6b",95.1583817723927,-0.147084319112006,0.260751844828992,-0.564077769836941,0.572701206266181,0.816848763523951,"ENSDARG00000062457",-0.442608846694802,"406711"
"101","flnb",564.314820663179,-0.12687893967391,0.0917522916604251,-1.3828421871302,0.166713260250475,0.456043348581405,"ENSDARG00000004158",0.79147994679524,"767643"
"102","slmapb",298.999194159197,0.0291328035872249,0.144705091563113,0.20132535263639,0.840444179860211,0.944908428230767,"ENSDARG00000025875",1.17382474135472,"393594"
"103","atp6ap1lb",176.698173433058,0.180925911319357,0.157922920153053,1.14565961130918,0.251936021548512,0.558555151215828,"ENSDARG00000061216",2.37858010644839,"399646"
"104","dnah12",36.0654231078624,-0.383428038896467,0.335020082033465,-1.14449270195739,0.252419362793601,0.558845862857216,"ENSDARG00000016584",0.376663436544346,"560219"
"105","fam208ab",261.107384080911,-0.255696480984451,0.14432168168293,-1.77171217798173,0.0764423471059455,0.293292922480564,"ENSDARG00000104314",1.57121845487548,"567480"
"106","fbxo44",47.0838974390485,-0.0417550666390778,0.298128040103793,-0.140057495512803,0.888614563166197,0.962352766382669,"ENSDARG00000042332",-0.881908300273735,"556784"
"107","fkbp1ab",114.39608295059,0.362189256523797,0.24754361904411,1.46313307498045,0.143430969091776,0.419105635857342,"ENSDARG00000037091",2.94190141115017,"30751"
"108","sdcbp2",566.623548145374,-0.346376282658144,0.182526669437423,-1.8976749190994,0.0577389184715705,0.248988901480413,"ENSDARG00000069339",1.85182383593125,"246094"
"109","snphb",611.601589702864,0.474151878550498,0.191013905898956,2.48228984334427,0.013054104470293,0.0982998191241451,"ENSDARG00000093313",5.3386526758677,"792182"
"110","sulf2b",1147.60210101627,-0.0666620104204556,0.0969640363393113,-0.68749211498562,0.491772667915699,0.76728587805499,"ENSDARG00000033604",-0.29026127364699,"492479"
"111","si:ch211-218g4.2",196.382013145516,0.0160512810311628,0.192966785276545,0.0831815745293126,0.933707163355556,0.976563819330293,"ENSDARG00000079401",1.06859241951188,"565357"
"112","ddx23",12.2273956847146,-1.24765617048873,0.753012085518004,-1.65688731228059,0.0975422599915748,0.336317201806227,"ENSDARG00000077469",1.32746955907348,"565501"
"113","cacnb3a",200.826332579309,-0.177249094608609,0.151133192938088,-1.17280056857675,0.240875790087833,0.546350629273936,"ENSDARG00000113800",0.423473872178954,"558431"
"114","g6pd",31.213967252838,-0.0750907605511527,0.51358168623096,-0.146209965355704,0.883755638886719,0.960958444332654,"ENSDARG00000070037",-0.876425318843898,"337153"
"115","naa10",13.0235439591218,-0.235752646295108,0.639820128243728,-0.368467067365068,0.712524996880829,0.890852681515157,"ENSDARG00000045493",-0.661059715886778,"394058"
"116","zbtb46",269.771134307453,0.303447527762823,0.13119710600137,2.31291327233738,0.0207274079541287,0.131964497307953,"ENSDARG00000031463",4.87629839874465,"564351"
